Ensembl ID	Gene ID	Symbol	Family	Type	Alias
ENSG00000072364	27125.0	AFF4	AF-4	TF	
ENSG00000144218	3899.0	AFF3	AF-4	TF	
ENSG00000155966	2334.0	AFF2	AF-4	TF	
ENSG00000172493	4299.0	AFF1	AF-4	TF	
ENSG00000169083	367.0	AR	Androgen receptor	TF	
ENSG00000008196	7021.0	TFAP2B	AP-2	TF	
ENSG00000008197	83741.0	TFAP2D	AP-2	TF	
ENSG00000087510	7022.0	TFAP2C	AP-2	TF	
ENSG00000116819	339488.0	TFAP2E	AP-2	TF	
ENSG00000137203	7020.0	TFAP2A	AP-2	TF	
ENSG00000008083	3720.0	JARID2	ARID	TF	
ENSG00000012817	8284.0	KDM5D	ARID	TF	
ENSG00000032219	5926.0	ARID4A	ARID	TF	
ENSG00000054267	51742.0	ARID4B	ARID	TF	
ENSG00000073614	5927.0	KDM5A	ARID	TF	
ENSG00000116017	1820.0	ARID3A	ARID	TF	
ENSG00000117139	10765.0	KDM5B	ARID	TF	
ENSG00000126012	8242.0	KDM5C	ARID	TF	
ENSG00000150347	84159.0	ARID5B	ARID	TF	
ENSG00000179361	10620.0	ARID3B	ARID	TF	
ENSG00000189079	196528.0	ARID2	ARID	TF	
ENSG00000196843	10865.0	ARID5A	ARID	TF	
ENSG00000205143	138715.0	ARID3C	ARID	TF	
ENSG00000117713	8289.0	ARID1A	ARID	TF	
ENSG00000049618	57492.0	ARID1B	ARID	TF	
ENSG00000100644	3091.0	HIF1A	bHLH	TF	
ENSG00000130751	4861.0	NPAS1	bHLH	TF	
ENSG00000151322	64067.0	NPAS3	bHLH	TF	
ENSG00000174576	266743.0	NPAS4	bHLH	TF	
ENSG00000009950	51085.0	MLXIPL	bHLH	TF	
ENSG00000029153	56938.0	ARNTL2	bHLH	TF	
ENSG00000059728	4084.0	MXD1	bHLH	TF	
ENSG00000063438	57491.0	AHRR	bHLH	TF	
ENSG00000068323	7030.0	TFE3	bHLH	TF	
ENSG00000069812	54626.0	HES2	bHLH	TF	
ENSG00000070444	4335.0	MNT	bHLH	TF	
ENSG00000071564	6929.0	TCF3	bHLH	TF	
ENSG00000072310	6720.0	SREBF1	bHLH	TF	
ENSG00000090447	7023.0	TFAP4	bHLH	TF	
ENSG00000101190	10732.0	TCFL5	bHLH	TF	
ENSG00000104903	4066.0	LYL1	bHLH	TF	
ENSG00000105698	7392.0	USF2	bHLH	TF	
ENSG00000105967	22797.0	TFEC	bHLH	TF	
ENSG00000106546	196.0	AHR	bHLH	TF	
ENSG00000108788	6945.0	MLX	bHLH	TF	
ENSG00000111046	4618.0	MYF6	bHLH	TF	
ENSG00000111049	4617.0	MYF5	bHLH	TF	
ENSG00000112246	6492.0	SIM1	bHLH	TF	
ENSG00000112561	7942.0	TFEB	bHLH	TF	
ENSG00000113196	9421.0	HAND1	bHLH	TF	
ENSG00000114315	3280.0	HES1	bHLH	TF	
ENSG00000115738	3398.0	ID2	bHLH	TF	
ENSG00000116990	4610.0	MYCL1	bHLH	TF	
ENSG00000117318	3399.0	ID3	bHLH	TF	
ENSG00000118526	6943.0	TCF21	bHLH	TF	
ENSG00000119950	4601.0	MXI1	bHLH	TF	
ENSG00000120669	54937.0	SOHLH2	bHLH	TF	
ENSG00000122180	4656.0	MYOG	bHLH	TF	
ENSG00000122691	7291.0	TWIST1	bHLH	TF	
ENSG00000122859	50674.0	NEUROG3	bHLH	TF	
ENSG00000123095	79365.0	BHLHE41	bHLH	TF	
ENSG00000123307	58158.0	NEUROD4	bHLH	TF	
ENSG00000123933	10608.0	MXD4	bHLH	TF	
ENSG00000125533	128408.0	BHLHE23	bHLH	TF	
ENSG00000125878	6939.0	TCF15	bHLH	TF	
ENSG00000125952	4149.0	MAX	bHLH	TF	
ENSG00000125968	3397.0	ID1	bHLH	TF	
ENSG00000129152	4654.0	MYOD1	bHLH	TF	
ENSG00000133794	406.0	ARNTL	bHLH	TF	
ENSG00000134107	8553.0	BHLHE40	bHLH	TF	
ENSG00000134323	4613.0	MYCN	bHLH	TF	
ENSG00000134852	9575.0	CLOCK	bHLH	TF	
ENSG00000135547	23493.0	HEY2	bHLH	TF	
ENSG00000136997	4609.0	MYC	bHLH	TF	
ENSG00000139352	429.0	ASCL1	bHLH	TF	
ENSG00000140262	6938.0	TCF12	bHLH	TF	
ENSG00000143437	405.0	ARNT	bHLH	TF	
ENSG00000144485	55502.0	HES6	bHLH	TF	
ENSG00000146618	222894.0	FERD3L	bHLH	TF	
ENSG00000151379	343930.0	MSGN1	bHLH	TF	
ENSG00000158773	7391.0	USF1	bHLH	TF	
ENSG00000162367	6886.0	TAL1	bHLH	TF	
ENSG00000162992	4760.0	NEUROD1	bHLH	TF	
ENSG00000163792	150921.0	TCF23	bHLH	TF	
ENSG00000163909	26508.0	HEYL	bHLH	TF	
ENSG00000164107	9464.0	HAND2	bHLH	TF	
ENSG00000164600	63974.0	NEUROD6	bHLH	TF	
ENSG00000164683	23462.0	HEY1	bHLH	TF	
ENSG00000165643	402381.0	SOHLH1	bHLH	TF	
ENSG00000166823	55897.0	MESP1	bHLH	TF	
ENSG00000168267	256297.0	PTF1A	bHLH	TF	
ENSG00000168874	84913.0	ATOH8	bHLH	TF	
ENSG00000170485	4862.0	NPAS2	bHLH	TF	
ENSG00000171532	4761.0	NEUROD2	bHLH	TF	
ENSG00000171786	4807.0	NHLH1	bHLH	TF	
ENSG00000172201	3400.0	ID4	bHLH	TF	
ENSG00000172238	474.0	ATOH1	bHLH	TF	
ENSG00000172379	9915.0	ARNT2	bHLH	TF	
ENSG00000173673	390992.0	HES3	bHLH	TF	
ENSG00000175727	22877.0	MLXIP	bHLH	TF	
ENSG00000176009	56676.0	ASCL3	bHLH	TF	
ENSG00000176542	205717.0	KIAA2018	bHLH	TF	
ENSG00000177468	167826.0	OLIG3	bHLH	TF	
ENSG00000177551	4808.0	NHLH2	bHLH	TF	
ENSG00000178403	63973.0	NEUROG2	bHLH	TF	
ENSG00000178860	9242.0	MSC	bHLH	TF	
ENSG00000179111	84667.0	HES7	bHLH	TF	
ENSG00000179774	220202.0	ATOH7	bHLH	TF	
ENSG00000180535	168620.0	BHLHA15	bHLH	TF	
ENSG00000180828	27319.0	BHLHE22	bHLH	TF	
ENSG00000181965	4762.0	NEUROG1	bHLH	TF	
ENSG00000183733	344018.0	FIGLA	bHLH	TF	
ENSG00000183734	430.0	ASCL2	bHLH	TF	
ENSG00000184221	116448.0	OLIG1	bHLH	TF	
ENSG00000186051	6887.0	TAL2	bHLH	TF	
ENSG00000187098	4286.0	MITF	bHLH	TF	
ENSG00000187786	642658.0	SCXB	bHLH	TF	
ENSG00000187821	391723.0	HELT	bHLH	TF	
ENSG00000187855	121549.0	ASCL4	bHLH	TF	
ENSG00000188095	145873.0	MESP2	bHLH	TF	
ENSG00000188290	57801.0	HES4	bHLH	TF	
ENSG00000188686	100129885.0	SCXA	bHLH	TF	
ENSG00000196628	6925.0	TCF4	bHLH	TF	
ENSG00000197921	388585.0	HES5	bHLH	TF	
ENSG00000198911	6721.0	SREBF2	bHLH	TF	
ENSG00000205899	727857.0	BHLHA9	bHLH	TF	
ENSG00000205927	10215.0	OLIG2	bHLH	TF	
ENSG00000213347	83463.0	MXD3	bHLH	TF	
ENSG00000233608	117581.0	TWIST2	bHLH	TF	
ENSG00000237452	388553.0	LOC388553	bHLH	TF	
ENSG00000250709	100526761.0	C13orf38-SOHLH2	bHLH	TF	
ENSG00000092067	1053.0	CEBPE	C/EBP	TF	
ENSG00000100219	7494.0	XBP1	C/EBP	TF	
ENSG00000123685	55509.0	BATF3	C/EBP	TF	
ENSG00000146592	9586.0	CREB5	C/EBP	TF	
ENSG00000153879	1054.0	CEBPG	C/EBP	TF	
ENSG00000162772	467.0	ATF3	C/EBP	TF	
ENSG00000170653	11016.0	ATF7	C/EBP	TF	
ENSG00000172216	1051.0	CEBPB	C/EBP	TF	
ENSG00000221869	1052.0	CEBPD	C/EBP	TF	
ENSG00000245848	1050.0	CEBPA	C/EBP	TF	
ENSG00000067955	865.0	CBFB	CBF	TF	
ENSG00000108509	23125.0	CAMTA2	CG-1	TF	
ENSG00000171735	23261.0	CAMTA1	CG-1	TF	
ENSG00000088881	57593.0	EBF4	COE	TF	
ENSG00000108001	253738.0	EBF3	COE	TF	
ENSG00000164330	1879.0	EBF1	COE	TF	
ENSG00000221818	64641.0	EBF2	COE	TF	
ENSG00000160113	2063.0	NR2F6	COUP	TF	
ENSG00000175745	7025.0	NR2F1	COUP	TF	
ENSG00000185551	7026.0	NR2F2	COUP	TF	
ENSG00000083307	79977.0	GRHL2	CP2	TF	
ENSG00000115112	29842.0	TFCP2L1	CP2	TF	
ENSG00000134317	29841.0	GRHL1	CP2	TF	
ENSG00000135457	7024.0	TFCP2	CP2	TF	
ENSG00000153560	7342.0	UBP1	CP2	TF	
ENSG00000158055	57822.0	GRHL3	CP2	TF	
ENSG00000223399			CP2	TF	
ENSG00000006047	51087.0	YBX2	CSD	TF	
ENSG00000009307	7812.0	CSDE1	CSD	TF	
ENSG00000060138	8531.0	CSDA	CSD	TF	
ENSG00000065978	4904.0	YBX1	CSD	TF	
ENSG00000131914	79727.0	LIN28A	CSD	TF	
ENSG00000153048	23589.0	CARHSP1	CSD	TF	
ENSG00000172346	27254.0	CSDC2	CSD	TF	
ENSG00000187772	389421.0	LIN28B	CSD	TF	
ENSG00000124232			CSL	TF	
ENSG00000168214			CSL	TF	
ENSG00000008441	4784.0	NFIX	CTF/NFI	TF	
ENSG00000141905	4782.0	NFIC	CTF/NFI	TF	
ENSG00000147862	4781.0	NFIB	CTF/NFI	TF	
